H67_Cycle_Num,H67_Cycle_Life(%),H67_C_Rest_Start_Volt(V),H67_C_Rest_End_Volt(V),H67_D_Rest_Start_Volt(V),H67_D_Rest_End_Volt(V),H67_CC_Chg_Cur(A),H67_CC_Chg_Volt(V),H67_CC_Chg_CapaCity(Ah),H67_CC_Chg_Energy(Wh),H67_CC_Chg_Time(s),H67_CCCV_Chg_Cur(A),H67_CCCV_Chg_Volt(V),H67_CCCV_Chg_CapaCity(Ah),H67_CCCV_Chg_Energy(Wh),H67_CCCV_Chg_Time(s),H67_CV_Chg_Time(s),H67_CC_Dischg_Cur(A),H67_CC_Dischg_Volt(V),H67_CC_Dischg_CapaCity(Ah),H67_CC_Dischg_Energy(Wh),H67_CC_Dischg_Time(s),H67_Volt_CC_DChg_00s,H67_Volt_CC_DChg_10s,H67_Rin(ohm)
13.0,100.27109584736311,4.1976,4.1905,2.6026,3.1752,1.3995,4.1967,2.503637277777778,9.528837888888889,6440.0,0.055799999999999995,4.1995,2.743935194444444,10.537965472222222,8301.2,1861.2000000000007,-2.7979000000000003,2.5,2.745784722222222,9.819834166666668,3532.7000000000003,4.1046,4.0677,0.013188462775652905
14.0,100.18479017067396,4.1979,4.1908,2.614,3.182,1.3995,4.1961,2.511612722222222,9.554408444444443,6460.0,0.055799999999999995,4.1995,2.748829694444445,10.55059938888889,8300.9,1840.8999999999996,-2.7983000000000002,2.5,2.743421361111112,9.810892472222221,3529.7000000000003,4.1074,4.0687,0.01382982525104542
15.0,100.06115072822196,4.1976,4.1905,2.5967,3.1888,1.3991,4.1964,2.5037154999999998,9.526367972222221,6440.0,0.055799999999999995,4.1998,2.745634722222222,10.542320277777774,8323.7,1883.7000000000007,-2.7979000000000003,2.4996,2.7400356666666665,9.789147583333332,3525.5,4.104,4.0656,0.013724579148647274
16.0,100.80954341293408,4.1979,4.1911,2.5936,3.1284,1.3991,4.1964,2.523624305555556,9.605700555555556,6490.0,0.055799999999999995,4.1998,2.7444141111111113,10.53294725,8216.9,1726.8999999999996,-2.7994,2.5,2.7605293611111112,9.889583638888888,3551.3,4.1086,4.0736,0.012502679145531234
17.0,100.81437903029612,4.1979,4.1911,2.61,3.1262,1.3995,4.1967,2.5511388333333334,9.698046777777778,6560.0,0.055799999999999995,4.1998,2.763500777777778,10.589914416666668,8242.1,1682.1000000000004,-2.7983000000000002,2.4993,2.760661777777778,9.891318111111111,3551.4,4.1099,4.0745,0.012650537826537574
18.0,100.92645437836444,4.1982,4.1911,2.6016,3.1144,1.3995,4.1961,2.5512868055555553,9.697336194444445,6560.0,0.055799999999999995,4.1998,2.764025277777778,10.590771111111112,8233.2,1673.2000000000007,-2.7983000000000002,2.4996,2.7637308055555554,9.904445555555556,3555.3,4.1096,4.0749,0.012400385948611639
19.0,99.923474098219,4.1979,4.1908,2.614,3.1969,1.4002000000000001,4.1964,2.527519555555556,9.600060055555556,6500.0,0.055799999999999995,4.1998,2.766715527777778,10.604557777777778,8375.7,1875.7000000000007,-2.7979000000000003,2.5,2.736265583333333,9.777314472222223,3520.6000000000004,4.1028,4.0656,0.013295686050252097
20.0,99.72993984916016,4.1976,4.1905,2.6026,3.2077,1.3995,4.1964,2.484068833333333,9.453410638888888,6390.0,0.055799999999999995,4.1995,2.7388043611111113,10.52316,8343.2,1953.2000000000007,-2.7979000000000003,2.5,2.7309659166666664,9.751688194444444,3513.9,4.0997,4.0625,0.013295686050252097
21.0,99.66231728566036,4.1976,4.1905,2.6004,3.2105,1.3995,4.1964,2.4761844166666664,9.425382305555557,6370.0,0.055799999999999995,4.1995,2.733884583333333,10.507570083333334,8347.4,1977.3999999999996,-2.7979000000000003,2.5,2.7291141666666667,9.743925805555557,3511.6000000000004,4.0993,4.0621,0.013295686050252097
22.0,100.70293260665918,4.1979,4.1911,2.6044,3.129,1.4002000000000001,4.1967,2.511747361111112,9.566457138888888,6460.0,0.055799999999999995,4.1998,2.733753833333333,10.498809305555556,8205.1,1745.1000000000004,-2.7983000000000002,2.499,2.7576099722222223,9.876070027777779,3547.6000000000004,4.108,4.0727,0.0126148018439765
