H21_Cycle_Num,H21_Cycle_Life(%),H21_C_Rest_Start_Volt(V),H21_C_Rest_End_Volt(V),H21_D_Rest_Start_Volt(V),H21_D_Rest_End_Volt(V),H21_CC_Chg_Cur(A),H21_CC_Chg_Volt(V),H21_CC_Chg_CapaCity(Ah),H21_CC_Chg_Energy(Wh),H21_CC_Chg_Time(s),H21_CCCV_Chg_Cur(A),H21_CCCV_Chg_Volt(V),H21_CCCV_Chg_CapaCity(Ah),H21_CCCV_Chg_Energy(Wh),H21_CCCV_Chg_Time(s),H21_CV_Chg_Time(s),H21_CC_Dischg_Cur(A),H21_CC_Dischg_Volt(V),H21_CC_Dischg_CapaCity(Ah),H21_CC_Dischg_Energy(Wh),H21_CC_Dischg_Time(s),H21_Volt_CC_DChg_00s,H21_Volt_CC_DChg_10s,H21_Rin(ohm),DChg_IR,Chg_IR
12,99.12728757070757,4.1958,4.1858,2.7021,2.9941,2.5000999999999998,4.1989,3.944733777777778,15.074092444444444,5680.0,0.09996,4.1995,4.8164384,18.734813866666666,9785.7,4105.700000000001,-4.9996,2.5,4.813693777777778,16.533168,3465.9,3.9822,3.9245,0.011540923273861926,0.04072325786062889,0.4819007239710412
13,99.12541134057558,4.1954,4.1858,2.6984,2.9904,2.5000999999999998,4.1976,3.944738222222222,15.067432888888888,5680.0,0.1,4.1995,4.817297333333333,18.731735111111117,9799.400000000001,4119.4000000000015,-4.9996,2.4996,4.813602666666666,16.535338666666668,3465.8,3.9877,3.9239,0.01276102088167046,0.03962316985358841,0.4828606855725773
14,99.16397015787332,4.1958,4.1865,2.7039,2.9882,2.5000999999999998,4.1982,3.972667555555556,15.169703111111112,5720.0,0.1,4.1995,4.820298666666667,18.72949511111111,9557.300000000001,3837.300000000001,-5.0,2.5,4.815475111111111,16.553873777777778,3467.1000000000004,3.9933,3.9276,0.013140000000000018,0.03863999999999992,0.48398064077436903
15,99.09763398228014,4.1958,4.1865,2.6981,2.9876,2.5000999999999998,4.1976,3.965698222222222,15.139754666666665,5710.0,0.1,4.1995,4.818519111111111,18.72123022222222,9573.6,3863.6000000000004,-5.0003,2.4996,4.812253777777778,16.543168,3464.8,3.9843,3.9273,0.011399316041037614,0.04043757374557516,0.48398064077436925
16,98.75087919686368,4.1954,4.1855,2.7098,2.9985,2.5000999999999998,4.1982,3.9517924444444437,15.083736888888888,5690.0,0.1,4.1995,4.8118328888888895,18.69547555555556,9706.7,4016.7000000000007,-5.0,2.5,4.795415111111112,16.45531377777778,3452.8,3.9831,3.9174,0.01313999999999993,0.04048000000000007,0.4798608055677773
17,98.78581368668694,4.1954,4.1861,2.7046,2.9951,2.5000999999999998,4.1979,3.9377706666666668,15.043943111111112,5670.0,0.1,4.1995,4.8005204444444445,18.667056,9649.5,3979.5,-5.0,2.5,4.7971115555555555,16.47746488888889,3454.0,3.988,3.9233,0.01294000000000004,0.03961999999999995,0.4811007559697612
18,98.74554338141516,4.1954,4.1861,2.7108,2.9944,2.5003,4.1979,3.937781777777778,15.042181333333334,5670.0,0.1,4.1995,4.800612444444444,18.665628444444444,9624.5,3954.5,-4.9996,2.5,4.7951559999999995,16.468654222222224,3452.6000000000004,3.9803,3.922,0.011660932874629973,0.04116329306344498,0.48134223893132805
19,98.77388818492122,4.1954,4.1858,2.7108,2.9892,2.5003,4.1982,3.9308666666666667,15.013461333333332,5660.0,0.1,4.1995,4.797708444444445,18.65376,9676.1,4016.1000000000004,-5.0003,2.4996,4.796532444444444,16.483329777777776,3453.5,3.9843,3.9233,0.012199268043917442,0.04029758214507134,0.48354197496300444
20,98.85500539301758,4.1958,4.1871,2.6977,2.9867,2.5003,4.1979,3.958769333333333,15.115214222222225,5700.0,0.1,4.1998,4.803751555555555,18.663875555555556,9476.7,3776.7000000000007,-5.0,2.5,4.800471555555556,16.513893333333332,3456.3,3.9899,3.9295,0.012080000000000002,0.03944000000000001,0.48442186937567483
21,98.80049404342697,4.1958,4.1871,2.7008,2.987,2.5003,4.1982,3.958772888888889,15.113315555555557,5700.0,0.1,4.1995,4.803152,18.65935822222222,9494.400000000001,3794.4000000000015,-4.9996,2.5,4.797824444444444,16.505562666666666,3454.4,3.9859,3.9291,0.011360908872709808,0.040243219457556614,0.48442186937567483
22,98.50544999091628,4.1954,4.1858,2.7105,2.996,2.5000999999999998,4.1982,3.944889777777778,15.056401777777776,5680.0,0.1,4.1995,4.797313777777777,18.63615288888889,9591.400000000001,3911.4000000000015,-5.0,2.4996,4.783496888888889,16.424975999999997,3444.2000000000003,3.9818,3.9202,0.012319999999999975,0.04080000000000013,0.48086076556937724
