H24_Cycle_Num,H24_Cycle_Life(%),H24_C_Rest_Start_Volt(V),H24_C_Rest_End_Volt(V),H24_D_Rest_Start_Volt(V),H24_D_Rest_End_Volt(V),H24_CC_Chg_Cur(A),H24_CC_Chg_Volt(V),H24_CC_Chg_CapaCity(Ah),H24_CC_Chg_Energy(Wh),H24_CC_Chg_Time(s),H24_CCCV_Chg_Cur(A),H24_CCCV_Chg_Volt(V),H24_CCCV_Chg_CapaCity(Ah),H24_CCCV_Chg_Energy(Wh),H24_CCCV_Chg_Time(s),H24_CV_Chg_Time(s),H24_CC_Dischg_Cur(A),H24_CC_Dischg_Volt(V),H24_CC_Dischg_CapaCity(Ah),H24_CC_Dischg_Energy(Wh),H24_CC_Dischg_Time(s),H24_Volt_CC_DChg_00s,H24_Volt_CC_DChg_10s,H24_Rin(ohm)
32,98.52507466956558,4.1985,4.1899,2.5589,2.8549,2.0998,4.0984,2.9804446666666666,11.112102222222221,5110.0,0.08399,4.1998,3.7773016888888886,14.427039288888889,7540.1,2420.1000000000004,-4.1997,2.5,3.7775275555555554,13.753154666666667,3238.1000000000004,4.1334,4.0944,0.009286377598399814
33,98.50382661962188,4.1985,4.1905,2.5567,2.8546,2.0997,4.0993,2.9863444444444442,11.13167911111111,5120.0,0.08399,4.1998,3.7788725333333333,14.428644977777777,7540.3,2420.3,-4.1997,2.4993,3.7767128888888886,13.750724444444444,3237.4,4.1372,4.0947,0.010119770459794848
34,98.49206078727444,4.1989,4.1905,2.5592,2.8531,2.0998,4.0993,2.986358,11.132031111111111,5120.0,0.08399,4.1998,3.7780967111111114,14.425664000000001,7544.3,2454.3,-4.1997,2.4996,3.7762617777777776,13.751130666666667,3237.0,4.1375,4.095,0.010119770459794848
35,98.28047286822245,4.1982,4.1892,2.5632,2.8667,2.0997,4.0981,2.968731111111111,11.066018666666668,5090.0,0.084,4.1995,3.774056888888889,14.417787733333332,7649.900000000001,2559.9000000000005,-4.1994,2.4996,3.7681493333333327,13.692531555555556,3230.3,4.1288,4.086,0.010191932180787667
36,98.26863748415671,4.1982,4.1892,2.562,2.8652,2.0997,4.0993,2.9686935555555563,11.071883555555557,5090.0,0.08395,4.1995,3.769703466666667,14.405762844444444,7624.700000000001,2534.7000000000007,-4.1994,2.4993,3.767695555555556,13.695239111111112,3229.9,4.1341,4.0873,0.011144449207029618
37,98.22896982081392,4.1982,4.1892,2.562,2.8661,2.0995,4.0993,2.968691333333333,11.072145777777777,5090.0,0.084,4.1995,3.768855466666667,14.4025088,7629.500000000001,2549.500000000001,-4.1994,2.4993,3.7661746666666667,13.688187555555556,3228.6000000000004,4.1313,4.0869,0.010572938991284574
38,98.16458811356496,4.1982,4.1892,2.5632,2.8701,2.0995,4.0984,2.9628506666666667,11.049376,5080.0,0.08397,4.1995,3.767213155555556,14.397000533333333,7626.500000000001,2536.500000000001,-4.1994,2.499,3.763706222222222,13.673445333333332,3226.5,4.1288,4.0857,0.010263370957755851
39,98.30263668245723,4.1985,4.1899,2.5598,2.8549,2.0997,4.0987,2.968715333333333,11.073491555555556,5090.0,0.084,4.1995,3.7672032,14.39582008888889,7570.3,2470.3,-4.1997,2.4996,3.7689991111111114,13.720618666666667,3230.8,4.1353,4.0928,0.010119770459794637
40,98.27822402933045,4.1985,4.1899,2.5573,2.8546,2.0998,4.0987,2.9746513333333326,11.088744888888888,5100.0,0.084,4.1998,3.769828266666667,14.3968128,7534.3,2434.3,-4.1997,2.4993,3.768063111111111,13.718484444444444,3230.0,4.1331,4.0935,0.009429244946067596
41,98.26917071399708,4.1985,4.1905,2.5561,2.8543,2.0997,4.0987,2.9746568888888887,11.089208888888889,5100.0,0.08399,4.1998,3.769444622222222,14.3956608,7550.000000000001,2470.000000000001,-4.1997,2.4996,3.767716,13.718664888888888,3229.7000000000003,4.1341,4.0938,0.009595923518346603
