H11_Cycle_Num,H11_Cycle_Life(%),H11_C_Rest_Start_Volt(V),H11_C_Rest_End_Volt(V),H11_D_Rest_Start_Volt(V),H11_D_Rest_End_Volt(V),H11_CC_Chg_Cur(A),H11_CC_Chg_Volt(V),H11_CC_Chg_CapaCity(Ah),H11_CC_Chg_Energy(Wh),H11_CC_Chg_Time(s),H11_CCCV_Chg_Cur(A),H11_CCCV_Chg_Volt(V),H11_CCCV_Chg_CapaCity(Ah),H11_CCCV_Chg_Energy(Wh),H11_CCCV_Chg_Time(s),H11_CV_Chg_Time(s),H11_CC_Dischg_Cur(A),H11_CC_Dischg_Volt(V),H11_CC_Dischg_CapaCity(Ah),H11_CC_Dischg_Energy(Wh),H11_CC_Dischg_Time(s),H11_Volt_CC_DChg_00s,H11_Volt_CC_DChg_10s,H11_Rin(ohm)
3,100.36573884414312,4.1982,4.1936,2.5744,3.3934,2.0002999999999997,4.0993,3.1669644444444445,11.949902222222224,5700.0,0.08,4.1998,3.7605521777777775,14.427342222222222,8433.9,2653.8999999999996,-4.0014,2.499,3.797960888888889,13.628614222222222,3417.4,4.1269,4.1024,0.006122857000049918
4,100.39190667152752,4.1985,4.1936,2.5762,3.3913,2.0002999999999997,4.0997,3.211510222222222,12.10385866666667,5780.0,0.07998999999999999,4.1998,3.8003473777777774,14.561462044444445,8490.6,2710.6000000000004,-4.0003,2.5,3.798951111111111,13.63328711111111,3418.3,4.1269,4.1031,0.00594955378346614
5,100.23735440916144,4.1982,4.1936,2.5765,3.3956,2.0002999999999997,4.099,3.2114991111111113,12.102266666666667,5780.0,0.07998999999999999,4.2001,3.800795022222222,14.561622755555556,8480.800000000001,2740.800000000001,-4.0007,2.4996,3.793102666666666,13.615595555555556,3413.0,4.1282,4.1034,0.0061989151898417605
6,99.22876553626662,4.1982,4.193,2.5802,3.4145,2.0000999999999998,4.0987,3.189156,12.023374222222225,5740.0,0.07997,4.1998,3.7909941333333332,14.5353728,8570.300000000001,2900.300000000001,-4.0003,2.4993,3.754936444444445,13.450653333333333,3378.9,4.1248,4.0984,0.006599505037122155
7,99.09334585505373,4.1982,4.193,2.5762,3.4161,2.0000999999999998,4.0987,3.1502106666666667,11.887143111111111,5670.0,0.07998999999999999,4.1998,3.756130844444445,14.416233244444443,8516.2,2856.2000000000007,-4.0003,2.499,3.749812,13.428487111111112,3374.3,4.1226,4.0978,0.006199535034872368
8,99.01670982557286,4.1979,4.193,2.5784,3.4167,2.0000999999999998,4.099,3.1446533333333333,11.867728,5660.0,0.08,4.1998,3.751630222222222,14.401311288888888,8525.0,2875.0,-4.0011,2.4996,3.746912,13.416661333333332,3371.7000000000003,4.1232,4.0975,0.0064232336107569446
9,99.80651311116203,4.1982,4.193,2.5725,3.4015,2.0000999999999998,4.0987,3.139076666666667,11.846871111111112,5650.0,0.08,4.1998,3.7488789333333328,14.39222328888889,8541.2,2801.2000000000007,-4.0007,2.4993,3.776799111111111,13.532800888888888,3398.5,4.1232,4.0981,0.0062739020671382815
10,100.07401689774534,4.1982,4.1933,2.5747,3.3956,2.0002999999999997,4.0984,3.189239777777778,12.023128,5740.0,0.07998000000000001,4.1998,3.7825937777777776,14.499342222222221,8462.300000000001,2712.300000000001,-4.0007,2.4993,3.7869217777777777,13.581764444444444,3407.5,4.1263,4.1024,0.005973954557952199
11,100.08213268262982,4.1982,4.1936,2.5802,3.394,2.0002999999999997,4.099,3.1947959999999997,12.042401777777775,5750.0,0.07998999999999999,4.1998,3.788170311111111,14.518897777777779,8478.1,2728.1000000000004,-4.0003,2.4993,3.787228888888889,13.581722666666668,3407.8,4.1263,4.1021,0.0060495462840285865
12,99.52311835938528,4.1985,4.1936,2.5756,3.4077,2.0002999999999997,4.0984,3.1947797777777778,12.041297777777778,5750.0,0.08,4.2001,3.7900128,14.525303466666667,8485.5,2805.5,-4.0011,2.4996,3.7660751111111113,13.504072,3388.8,4.1269,4.1031,0.005948364199844942
13,98.90233715812695,4.1982,4.193,2.5827,3.4161,2.0000999999999998,4.0997,3.155796666666667,11.905584000000001,5680.0,0.07998999999999999,4.1998,3.762602666666666,14.438641777777775,8542.1,2902.1000000000004,-4.0011,2.4996,3.742584,13.395323555555557,3367.8,4.1217,4.0969,0.006198295468746078
14,98.77216748537045,4.1982,4.193,2.5812,3.4185,2.0000999999999998,4.099,3.133506222222222,11.826752,5640.0,0.07998000000000001,4.1998,3.7443918222222226,14.37679928888889,8528.2,2898.2000000000007,-4.0,2.4996,3.737658222222222,13.374413333333333,3363.4,4.122,4.0966,0.006350000000000078
15,99.34340833837584,4.1979,4.1927,2.5762,3.4083,2.0000999999999998,4.0997,3.1279446666666666,11.808307555555555,5630.0,0.08,4.1998,3.739141688888889,14.359832177777779,8521.4,2821.3999999999996,-4.0011,2.4993,3.7592746666666663,13.456894222222223,3382.8,4.1235,4.0966,0.006723151133438396
16,100.10153539844627,4.1982,4.1933,2.5809,3.3909,2.0002999999999997,4.0981,3.166993777777778,11.944010666666669,5700.0,0.08,4.1998,3.7659328,14.443568355555556,8452.7,2702.7000000000007,-4.0014,2.5,3.7879631111111114,13.581791111111112,3408.4,4.1257,4.1021,0.005897935722497142
17,100.0600051302096,4.1982,4.1933,2.5747,3.3919,2.0002999999999997,4.0987,3.1948335555555554,12.040028444444443,5750.0,0.08,4.1998,3.789699555555555,14.522672355555557,8480.7,2730.7000000000007,-4.0014,2.4993,3.786391555555555,13.57414311111111,3407.0,4.1266,4.1021,0.006122857000049918
18,100.0775286483683,4.1982,4.1933,2.5759,3.3913,2.0002999999999997,4.0993,3.1948266666666667,12.04208888888889,5750.0,0.07998999999999999,4.1998,3.788056533333333,14.518078577777779,8478.9,2728.8999999999996,-4.0011,2.499,3.7870546666666667,13.576286222222224,3407.6000000000004,4.126,4.1021,0.005973357326735211
19,100.34601901372189,4.1982,4.1936,2.5728,3.3829,2.0000999999999998,4.0981,3.1948522222222224,12.03966222222222,5750.0,0.07998999999999999,4.2001,3.789837155555556,14.522633955555557,8475.1,2705.1000000000004,-4.0003,2.5,3.797214666666666,13.618182222222222,3416.7000000000003,4.1276,4.1034,0.0060495462840288085
20,100.470222233915,4.1982,4.1936,2.5775,3.3782,2.0002999999999997,4.0984,3.205987111111111,12.078338666666669,5770.0,0.07998999999999999,4.2001,3.798897777777778,14.552631466666666,8466.9,2676.8999999999996,-4.0003,2.499,3.8019146666666668,13.63730488888889,3420.9,4.1279,4.1037,0.0060495462840288085
21,100.58520564059968,4.1985,4.1936,2.5722,3.3739,2.0002999999999997,4.0997,3.2171388888888885,12.120030222222221,5790.0,0.08,4.2001,3.8037098666666664,14.568227555555556,8461.4,2671.3999999999996,-4.0011,2.5,3.8062657777777775,13.654449777777778,3424.8,4.1276,4.104,0.005898377946064849
22,100.67292893626136,4.1985,4.1936,2.5744,3.3705,2.0002999999999997,4.0981,3.217118,12.116461333333334,5790.0,0.08,4.2001,3.808164266666666,14.582906311111111,8466.1,2666.1000000000004,-4.0014,2.4996,3.809585333333333,13.667627555555557,3427.8,4.1285,4.1043,0.006047883240865586
23,100.69889709889466,4.1985,4.1936,2.575,3.3692,2.0002999999999997,4.0987,3.222678222222222,12.136602666666668,5800.0,0.08,4.2001,3.8114229333333327,14.593551644444444,8472.4,2672.3999999999996,-4.0014,2.5,3.8105680000000004,13.67205688888889,3428.7000000000003,4.1288,4.1046,0.006047883240865808
